f1,f2,f3,f4,clase
-1.224744871391589,-1.0,-1.0,-1.0,2
-1.224744871391589,-1.0,-1.0,1.0,1
-1.224744871391589,-1.0,1.0,-1.0,2
-1.224744871391589,-1.0,1.0,1.0,0
-1.224744871391589,1.0,-1.0,-1.0,2
-1.224744871391589,1.0,-1.0,1.0,1
-1.224744871391589,1.0,1.0,-1.0,2
-1.224744871391589,1.0,1.0,1.0,0
0.0,-1.0,-1.0,-1.0,2
0.0,-1.0,-1.0,1.0,1
0.0,-1.0,1.0,-1.0,2
0.0,-1.0,1.0,1.0,0
0.0,1.0,-1.0,-1.0,2
0.0,1.0,-1.0,1.0,1
0.0,1.0,1.0,-1.0,2
0.0,1.0,1.0,1.0,2
1.224744871391589,-1.0,-1.0,-1.0,2
1.224744871391589,-1.0,-1.0,1.0,2
1.224744871391589,-1.0,1.0,-1.0,2
1.224744871391589,-1.0,1.0,1.0,0
1.224744871391589,1.0,-1.0,-1.0,2
1.224744871391589,1.0,-1.0,1.0,1
1.224744871391589,1.0,1.0,-1.0,2
1.224744871391589,1.0,1.0,1.0,2
